trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,tc_0,tc_1
45,1000,1,0.013245,0.013445,0.020009,0.009969,0.004347,0.017144,0.020190,0.024618,0.011750,0.013394,0.002911,-0.014221,-0.018955,-0.002969,0.003366,0.002224,-0.005927,-0.004510,-0.008658,-0.005021,0.009108,0.005527,0.000884,0.001234,-0.010226,-0.004552,-0.008732,-0.003869,0.002128,0.007149,-0.013270,-0.005400,0.004402,-0.014874,0.010529,0.005304,0.008844,-0.001780,-0.001211,-0.004967,-0.042277,-0.017502,0.000184,-0.039723,-0.022883,-0.005460,-0.013298,-0.017181,-0.006831,-0.004577,0.073464,0.102457
46,1000,1,0.015190,0.019504,0.025346,0.014584,0.019585,0.012548,0.015281,0.025545,0.010947,0.011719,0.003506,-0.000857,0.002190,-0.003893,0.003437,0.002410,-0.002958,-0.012316,-0.009210,0.004214,-0.014860,-0.004176,-0.000569,-0.008298,0.004253,0.001885,0.005850,-0.005341,0.016993,-0.001289,0.002970,0.001533,-0.006199,-0.008876,0.002765,-0.001141,-0.002004,-0.023566,0.007695,-0.000841,-0.023338,-0.015679,-0.018211,-0.033850,-0.007864,-0.009583,-0.022384,-0.027117,-0.012848,-0.014417,0.062527,0.080791
47,1000,1,0.012420,0.015296,0.014200,0.017426,0.027094,0.013077,0.017236,0.017364,0.008284,0.031460,-0.003013,-0.000523,-0.002537,0.005884,-0.002689,-0.002105,-0.003807,0.000612,-0.001503,-0.005698,0.001600,-0.007376,-0.020172,-0.002614,-0.000206,-0.000295,-0.024709,-0.002130,-0.008984,-0.006421,0.001873,-0.011687,-0.007450,-0.006994,0.005635,-0.000526,-0.005553,0.001874,0.004756,-0.004709,-0.023032,-0.039917,-0.015612,-0.017585,-0.021384,-0.018893,-0.011007,-0.034339,-0.004747,-0.011205,0.086494,0.099081
48,1000,1,0.007925,0.021492,0.018023,0.021984,0.012261,0.012790,0.031264,0.015055,0.016986,0.015928,0.003684,0.001207,-0.000739,-0.006651,-0.013579,-0.006478,0.001457,-0.002613,-0.009132,-0.004284,0.000461,-0.006152,-0.010159,-0.009237,0.006608,-0.000237,-0.009408,0.004945,0.001360,0.005757,-0.001175,0.006176,-0.004554,0.005731,-0.009117,0.004237,-0.019013,0.003963,-0.036423,-0.002183,-0.009206,-0.032142,-0.024408,-0.008205,-0.021154,-0.011377,-0.015498,-0.011769,-0.021457,-0.015871,0.060495,0.071758
49,1000,1,0.011919,0.012530,0.020317,0.010825,0.012513,0.000292,0.014541,0.000220,0.029069,0.017694,0.011398,-0.005321,-0.042788,0.005322,0.006848,-0.004339,-0.003897,-0.001524,-0.003912,0.005467,0.002655,-0.006578,-0.021991,-0.006467,0.000120,-0.010004,0.000056,0.000613,-0.012373,0.008763,0.002363,-0.002491,0.002754,0.003948,-0.004913,-0.004496,0.002533,-0.009226,0.002741,0.002385,-0.020124,-0.025288,-0.013764,-0.012531,-0.013044,-0.014499,-0.007618,-0.023798,-0.021067,-0.036630,0.077690,0.083789
50,1000,1,0.010236,0.022277,0.006898,0.017222,0.015156,0.014005,-0.004313,0.014991,0.018393,0.014443,-0.005493,0.001158,-0.024651,-0.001990,0.004457,0.007398,0.001981,0.008516,0.000690,0.006422,0.006320,0.013940,-0.000755,-0.006968,0.013843,0.010692,0.007722,-0.001453,0.000188,-0.001524,0.001916,0.003867,-0.015038,-0.023055,-0.013696,-0.003750,0.001803,0.006800,0.006324,0.005937,-0.032858,-0.027906,-0.019458,-0.021340,-0.010410,-0.017124,-0.047046,-0.049672,-0.013015,-0.027704,0.077746,0.115085
51,1000,1,0.020694,0.009792,0.013640,0.015552,0.015833,0.013998,0.014039,0.012263,0.023902,0.013079,-0.003758,-0.018255,-0.002899,-0.010721,-0.003540,-0.006623,-0.003550,-0.011275,0.000308,-0.011129,0.001233,-0.004259,0.003338,-0.013723,0.010663,0.002777,-0.000183,0.009479,-0.003369,0.008165,-0.008794,0.003560,0.006006,0.005750,-0.005266,-0.016731,0.000802,-0.007000,-0.001386,0.001066,-0.013371,-0.050958,-0.018597,-0.014274,-0.017570,-0.019338,-0.019076,-0.018397,-0.016355,-0.021299,0.068127,0.090887
52,1000,1,0.015726,0.005884,0.003663,0.011409,0.008969,0.015455,0.013528,0.018920,0.009145,0.024349,-0.008289,-0.005660,0.001451,-0.000321,-0.012053,-0.001148,-0.006096,-0.002531,0.004036,0.005112,-0.005921,0.006013,-0.043346,-0.003363,-0.000901,0.002598,0.002605,-0.004950,-0.004745,0.004925,0.011035,0.008708,0.003764,-0.010642,0.005237,-0.006699,-0.003732,0.004957,0.005509,0.000413,-0.021249,-0.014058,-0.004624,-0.025394,-0.035524,-0.021985,-0.001761,-0.031741,-0.043103,-0.034527,0.070621,0.099711
53,1000,1,0.023273,0.010613,0.014005,0.025549,0.014514,0.022693,0.010582,0.014986,0.009282,0.018852,0.004775,0.000594,-0.001822,-0.018265,0.000680,-0.028855,0.005868,0.004991,-0.015795,-0.000824,-0.005061,-0.027572,-0.004123,0.002904,-0.002814,-0.015568,-0.020965,0.003443,-0.010490,-0.000804,0.002790,-0.000350,-0.005462,0.006396,0.006317,0.005469,0.010653,0.006055,0.003421,-0.004278,-0.019757,-0.005805,-0.024233,-0.018117,-0.026197,-0.001538,-0.021242,-0.013408,-0.000764,-0.013513,0.082530,0.091724
54,1000,1,0.012319,0.022309,0.017353,0.010262,0.011222,0.019014,0.017721,0.017652,0.025657,0.005411,-0.010227,-0.006753,0.003134,0.005025,-0.003568,0.004359,-0.008177,-0.013717,0.006448,0.001870,-0.011252,-0.002154,-0.004488,-0.007032,0.008239,0.006728,0.002310,0.008044,-0.004952,0.007878,0.007643,-0.006196,-0.006059,0.006912,-0.001187,-0.002426,-0.022655,0.006534,-0.000810,-0.006635,-0.024530,-0.017821,-0.018787,-0.018943,-0.010343,-0.011222,-0.009881,-0.018999,-0.006409,-0.032283,0.083742,0.087432
55,1000,1,0.014445,0.018679,0.007934,0.016440,0.023650,0.012463,0.021575,0.013802,0.001994,0.006833,0.001540,-0.003074,-0.000533,-0.004703,0.017987,0.004926,0.003478,-0.000672,-0.002386,-0.006854,0.008612,0.008355,-0.000809,-0.005461,0.002936,0.002925,-0.005275,-0.011656,-0.004245,-0.001837,-0.006135,-0.003854,-0.009880,0.006075,0.006241,0.005044,-0.000377,0.004403,-0.006293,-0.003087,-0.019485,-0.011563,-0.026648,-0.010712,-0.006678,-0.013191,-0.015591,-0.017088,-0.003106,-0.037919,0.063887,0.090600
56,1000,1,0.014905,0.000410,0.012582,0.017234,0.008794,0.018641,0.018533,0.024700,0.010036,0.011922,-0.014735,0.004050,-0.008817,-0.001192,0.013387,-0.002148,-0.012950,0.000482,-0.011838,-0.009299,0.001820,0.004830,-0.004636,-0.002379,-0.010202,-0.001480,0.002629,0.005287,-0.005988,0.004387,-0.018295,0.004694,-0.003666,-0.002756,-0.010924,-0.003404,-0.001065,-0.000090,-0.001915,-0.024824,-0.052443,-0.014767,-0.007063,-0.014560,-0.014609,-0.004167,-0.009997,-0.020876,-0.021655,-0.004915,0.082484,0.071852
57,1000,1,-0.000517,0.014443,0.021102,0.002238,-0.015108,0.011901,0.009156,0.022351,0.015985,0.024464,-0.016472,0.004641,-0.001199,0.005971,0.000350,-0.010952,0.001823,-0.010995,0.003082,0.001515,-0.003432,-0.004360,0.001281,-0.002573,-0.023038,0.007011,0.003530,0.004774,0.006955,0.006118,-0.002679,0.000960,-0.010227,-0.001783,-0.003120,-0.003843,0.004893,0.002881,0.002163,-0.008114,-0.019617,-0.013993,-0.017005,-0.026320,-0.028277,-0.021857,-0.027999,-0.016856,-0.009195,-0.017186,0.092207,0.091592
58,1000,1,0.017685,0.024510,0.011317,0.022920,0.015953,0.013710,0.015259,0.009759,0.008568,0.017951,0.004893,0.001963,0.004873,-0.011645,0.001006,-0.001179,0.008780,0.012821,-0.013496,-0.002911,-0.003123,-0.006862,-0.002055,-0.005140,0.001446,0.011156,0.053008,0.005015,-0.021092,-0.005628,0.000921,0.004650,-0.005608,0.003967,-0.005128,0.003817,-0.000898,0.007788,0.004831,-0.008628,-0.030038,-0.020571,-0.018954,-0.011625,-0.020399,-0.027967,-0.018240,-0.040032,-0.012700,-0.015641,0.052636,0.080161
59,1000,1,0.006994,0.011788,0.011717,0.017870,0.022174,0.011432,0.012072,0.006031,0.006711,0.021371,0.003939,0.001012,-0.004275,0.005191,-0.007510,0.005021,0.001774,-0.001155,0.004314,-0.011698,-0.027863,-0.009882,-0.025310,0.002505,0.001248,0.003032,0.002004,-0.001836,-0.006601,0.005935,-0.001591,0.005164,-0.016692,-0.013426,0.006457,-0.007354,-0.001951,0.002783,-0.008584,0.011179,-0.012195,-0.015258,-0.013829,-0.018111,-0.019275,-0.013542,-0.026415,-0.019813,-0.024125,-0.017107,0.076202,0.090720
60,1000,1,0.012578,0.008725,0.015169,0.016708,0.014180,-0.016574,0.023974,0.010936,0.021839,0.015461,0.002242,-0.019671,-0.002614,0.005536,0.001257,-0.010011,-0.009121,-0.008623,0.001948,-0.001242,0.000014,0.002730,0.004608,0.015222,-0.009747,0.001412,-0.011827,0.015581,-0.008006,-0.001317,-0.009595,-0.008601,0.007962,-0.008929,-0.009884,0.007032,-0.014181,0.009899,0.002783,0.000429,-0.001153,-0.007053,-0.020283,-0.011979,-0.024240,-0.016381,-0.025608,-0.014563,-0.036851,-0.025464,0.080913,0.068028
61,1000,1,0.016797,0.013303,0.017691,0.019345,0.017022,0.017932,0.009689,0.005282,0.021390,0.016108,-0.000159,0.004309,-0.010012,-0.014314,-0.042978,0.001435,-0.006759,-0.024880,-0.017771,-0.000571,-0.000089,-0.002882,-0.001108,-0.020671,-0.010738,-0.001818,-0.002392,0.004218,-0.007500,0.001189,-0.003292,-0.000920,0.004483,-0.005172,0.007544,0.001007,0.000049,0.004821,0.002520,-0.002331,0.001029,-0.012526,-0.025732,-0.009758,-0.042668,-0.022838,-0.008695,-0.035992,-0.015168,-0.015767,0.066938,0.096099
62,1000,1,-0.000695,0.010039,0.015361,0.010273,0.012538,0.026723,0.023087,0.007837,0.010672,0.014584,0.003836,0.015824,-0.008285,-0.017141,-0.003691,-0.002342,-0.004689,-0.000966,-0.005285,-0.003440,0.004132,-0.003748,0.002611,0.005057,-0.002542,-0.004692,-0.000050,0.001078,-0.003144,-0.017849,0.000653,0.002720,-0.008558,-0.004896,0.009843,0.001000,-0.001623,-0.013523,-0.024395,0.003417,-0.020043,-0.014354,-0.011555,-0.016106,-0.033323,-0.021000,-0.013372,-0.032380,-0.018462,-0.010249,0.078629,0.086962
63,1000,1,0.029264,0.017947,0.020916,0.004107,0.018476,0.015973,0.014308,0.011682,0.025118,0.012249,-0.001881,0.002707,-0.003167,-0.005562,-0.003335,0.003592,-0.003980,-0.003625,0.001940,-0.003603,0.002251,0.000447,0.005526,-0.005786,-0.003955,-0.008457,0.007003,0.004045,-0.016199,-0.026391,-0.002657,-0.000843,-0.007732,-0.004639,0.012241,-0.002702,0.007200,0.001981,-0.002686,0.000129,-0.016106,-0.022503,-0.007413,-0.023737,-0.041213,-0.014764,-0.011430,-0.010871,-0.012866,-0.010580,0.081113,0.082807
64,1000,1,0.017647,0.024874,0.010016,0.013329,0.016846,0.020350,0.019034,0.015271,0.018801,0.018122,0.002541,-0.001273,-0.000822,0.002407,0.001134,0.001921,-0.008532,0.003529,-0.003116,-0.015006,0.003557,-0.001989,-0.014658,-0.007524,-0.007618,0.005723,0.002069,-0.002588,-0.002606,0.003682,0.004190,-0.008908,0.004951,-0.007110,0.000855,-0.003437,-0.002805,-0.005344,0.006065,-0.026282,-0.018329,-0.011901,-0.020959,-0.015633,-0.019998,-0.028049,-0.008531,-0.012018,-0.009518,-0.003181,0.084298,0.077165
65,1000,1,0.008565,0.017250,0.014777,0.019895,0.010200,0.011733,0.016784,0.010819,0.028081,0.017636,0.005905,0.004644,-0.009651,-0.000220,0.000428,-0.005207,-0.020839,-0.022400,0.000141,-0.001532,0.000753,-0.028731,0.029615,-0.011438,-0.002796,-0.006833,-0.010712,0.006581,0.001091,-0.023232,-0.000584,-0.015407,-0.016340,-0.002231,-0.009848,0.001800,0.002030,-0.010939,-0.005497,-0.013844,-0.004946,-0.021004,-0.009155,-0.015719,-0.013072,-0.010954,-0.020303,-0.018770,-0.029221,-0.014100,0.052040,0.070967
66,1000,1,-0.003598,0.017105,0.014622,0.015081,0.011665,0.009053,0.020246,0.020157,0.022100,0.007526,0.006893,-0.004065,-0.002205,-0.000631,0.005445,0.004524,-0.021332,-0.021285,-0.003272,-0.022210,0.004734,-0.000525,-0.001855,-0.000931,-0.046040,0.000370,0.000741,-0.005824,-0.004207,0.010611,0.010693,-0.011373,0.002127,0.006934,-0.012859,-0.002251,0.005887,-0.004958,0.007429,-0.002362,-0.021362,-0.013905,-0.008213,-0.029976,-0.016048,-0.009833,-0.007891,-0.008619,-0.027280,-0.027448,0.077841,0.093974
67,1000,1,0.021363,0.010346,0.008447,0.012526,0.014963,0.013813,0.021185,0.018969,0.020978,0.015516,-0.006521,0.004134,0.002679,0.002009,-0.005019,0.001775,-0.003937,-0.014374,0.001043,-0.015507,-0.029046,-0.000198,-0.003562,0.002768,-0.017653,0.001798,-0.000758,-0.024814,-0.002318,0.008383,-0.013967,0.001835,0.006372,-0.018561,-0.000572,-0.001440,0.006416,0.003089,0.003992,-0.025160,-0.027227,-0.009415,-0.032045,-0.020708,-0.019436,-0.015536,-0.016879,-0.018119,-0.028195,-0.018526,0.074766,0.081116
68,1000,1,0.016345,0.012467,0.020053,0.017590,0.011378,0.016346,0.003335,0.007273,0.012219,0.010715,-0.034746,0.002929,0.001265,0.000767,-0.004539,-0.003125,-0.007045,-0.018543,-0.010189,0.000606,-0.000813,-0.000871,-0.004713,-0.009874,0.005898,-0.015675,0.000759,-0.005870,-0.008330,-0.001043,-0.012173,0.003223,0.004384,0.006847,0.002746,-0.000287,0.002774,0.003887,-0.009646,-0.001526,-0.033679,-0.009066,-0.026720,-0.015007,-0.024750,-0.028421,-0.021334,-0.012031,-0.014527,-0.023132,0.063132,0.069074
69,1000,1,0.014525,0.016733,0.019421,0.019510,0.012194,0.021551,0.013723,0.023076,0.015344,0.022473,0.003946,0.009542,-0.000843,-0.022222,-0.003301,-0.008083,-0.002370,0.010183,0.001913,0.000488,-0.002423,-0.000454,-0.003539,-0.000439,-0.002259,-0.001754,0.002109,-0.006465,-0.007585,-0.003177,0.001020,0.002225,-0.000880,0.010240,-0.000160,-0.007969,-0.012907,-0.049412,-0.005252,-0.010238,-0.011307,-0.017819,-0.017730,-0.026166,-0.032315,-0.012292,-0.030675,-0.013434,-0.013690,-0.013358,0.079399,0.085417
70,1000,1,0.010090,0.015488,0.012868,0.019420,0.008812,0.017300,0.019418,0.023816,0.010074,0.011428,0.000874,-0.005247,0.002793,-0.029515,-0.016658,-0.008923,0.003876,-0.018005,0.003259,-0.003949,-0.000465,-0.000621,0.001684,-0.023535,-0.004299,-0.018473,-0.000045,-0.012503,0.004250,-0.010458,0.000524,-0.000277,-0.006378,0.000821,-0.002174,-0.005382,0.002326,-0.000991,-0.002546,0.008975,-0.008804,-0.009938,-0.018111,-0.012429,-0.016022,-0.010425,-0.042118,-0.009484,-0.008793,-0.023468,0.097507,0.090446
71,1000,1,0.016196,0.023089,0.015680,0.023519,0.019458,0.017167,0.013705,0.007745,0.009330,0.022946,0.003576,-0.010908,-0.002529,0.020276,-0.013249,-0.018374,-0.016885,0.003408,0.002790,0.002716,-0.002299,-0.006634,-0.001843,-0.005888,-0.002810,-0.001440,-0.013336,0.001043,-0.005865,0.000666,-0.001248,-0.011776,-0.006976,0.000215,0.026671,-0.007591,-0.012623,-0.003839,-0.006376,-0.000961,-0.004457,-0.012460,-0.017512,-0.021977,-0.005972,-0.009461,-0.024887,-0.018164,-0.024185,-0.012653,0.051014,0.065209
72,1000,1,0.006987,0.006912,0.020537,0.014288,0.008737,0.009560,0.021417,0.017702,0.016665,0.021886,0.000389,-0.000381,-0.012834,-0.000084,0.001222,-0.003570,0.004796,0.005404,0.036440,-0.003045,0.000237,0.001072,0.004349,0.005206,-0.018962,0.001706,-0.001730,-0.006365,-0.007791,0.006288,-0.008600,0.001358,-0.000622,-0.014319,0.000723,-0.018756,-0.000290,-0.009883,-0.018352,0.010506,-0.021625,-0.026887,-0.005244,-0.016558,-0.020198,-0.012248,-0.008140,-0.008836,-0.018184,-0.023065,0.089635,0.049994
73,1000,1,0.013530,0.014888,0.006054,0.006201,0.016140,0.014144,0.019585,0.035067,0.018080,0.013434,0.008725,-0.003079,-0.001641,0.002455,-0.009758,-0.012056,-0.003016,-0.009938,-0.004639,0.004581,0.006569,-0.008671,-0.008329,-0.006348,0.005491,-0.014630,-0.014628,-0.007232,-0.000551,0.008619,-0.006169,0.001927,0.002902,-0.005308,0.000296,-0.027286,0.004668,0.001254,0.000972,-0.016567,-0.010303,-0.018288,-0.008727,-0.024068,-0.011761,-0.015303,-0.040278,-0.018026,-0.018854,-0.011034,0.099020,0.055882
74,1000,1,0.006899,0.014126,0.012396,0.010081,0.016612,0.017317,0.025306,0.021240,0.013344,0.024233,-0.001958,-0.009373,0.007052,0.001481,-0.000170,0.007588,-0.004500,-0.005126,-0.006676,-0.000409,0.007913,-0.006377,0.002010,0.006135,0.000063,-0.004751,0.004056,-0.004295,-0.002502,-0.000349,-0.005730,-0.006341,-0.003722,0.001302,0.001363,-0.000836,-0.017574,0.002487,0.006668,-0.001232,-0.021149,-0.015538,-0.019521,-0.019311,-0.027704,-0.011861,-0.017284,-0.035678,-0.028514,-0.016514,0.095671,0.079071
75,1000,1,0.019232,0.018811,0.016028,0.012989,0.013551,0.014945,0.019437,0.012877,0.013021,0.013373,0.004019,0.005127,-0.000625,0.001446,-0.000567,0.004147,-0.009706,-0.001888,0.007527,-0.009595,0.004683,-0.009694,-0.008515,-0.009841,0.003218,0.006780,-0.001169,0.003384,-0.002190,0.004405,-0.007473,-0.002621,-0.001341,0.003002,0.038311,-0.025263,-0.011273,0.018376,-0.001647,-0.023505,-0.030221,-0.025398,-0.023663,-0.031701,-0.010399,-0.006518,-0.024048,-0.017941,-0.033752,-0.025227,0.073370,0.059361
76,1000,1,0.016431,0.011553,0.020285,0.019586,0.006629,0.016749,0.013655,0.011559,0.016989,0.018171,-0.012654,0.003190,-0.006273,0.005538,-0.007151,0.002469,-0.002126,0.007583,-0.001887,-0.007642,-0.004344,0.006927,-0.014168,-0.011700,-0.008536,0.000932,-0.011272,-0.007018,-0.035836,0.006547,0.002379,-0.001067,-0.004639,-0.000498,-0.005390,0.005658,-0.001526,-0.022396,-0.004556,-0.005420,-0.016065,-0.015679,-0.019783,-0.027749,-0.019691,-0.010380,0.000222,-0.007587,-0.015830,-0.019985,0.089588,0.068538
77,1000,1,0.013060,0.011653,0.012669,0.007227,0.016012,0.020068,0.027263,0.011735,0.004877,0.026580,0.003611,-0.012815,-0.005061,-0.000340,0.004343,0.003442,-0.000024,-0.002283,-0.023608,0.011497,-0.019075,-0.021875,0.005343,-0.005419,-0.012533,-0.000762,-0.012941,0.000639,-0.001186,-0.007845,0.008674,0.002328,-0.000895,-0.001525,0.000870,-0.003565,-0.007154,0.003155,-0.025654,-0.014268,-0.021401,-0.008130,-0.019710,-0.006595,-0.006815,-0.016197,-0.011328,-0.010375,-0.013390,-0.012415,0.071222,0.108330
78,1000,1,0.013563,0.009005,0.014703,0.021984,0.019174,0.026433,0.016904,0.004422,0.012804,0.015845,0.003106,-0.010419,-0.006230,0.004811,-0.001266,-0.007358,0.005036,-0.004849,0.000337,0.009007,0.000100,-0.001278,-0.005925,0.006307,-0.006402,-0.002008,-0.002131,-0.003255,-0.001359,-0.008960,-0.002373,0.003161,-0.016706,-0.004098,0.003175,-0.003238,0.002381,-0.010338,0.000929,-0.002240,-0.005930,-0.014545,-0.010889,-0.021978,-0.013899,-0.014128,-0.019260,-0.013722,-0.007724,-0.018631,0.092449,0.090011
79,1000,1,0.016407,0.021270,-0.000032,0.017302,0.016067,0.015943,0.014595,0.008062,0.031493,0.014357,-0.004196,0.002116,0.007994,0.000298,0.005269,0.003723,0.002580,0.003892,0.002255,0.003228,0.007875,-0.015380,-0.040046,0.002672,0.000301,0.000386,-0.007993,0.004929,-0.002325,-0.024625,-0.010957,0.001307,-0.001905,0.001942,-0.000973,-0.002055,0.002837,0.001898,0.011523,0.000041,-0.040976,-0.019513,-0.018288,-0.026952,-0.005755,-0.028350,-0.022700,-0.005833,-0.010743,-0.010736,0.071847,0.096685
80,1000,1,0.013683,0.019750,0.016162,0.008381,0.012480,0.016832,0.013268,0.013801,0.010697,0.036996,0.006900,0.000516,-0.004401,0.004997,-0.000395,-0.002572,-0.009499,0.002621,-0.006365,-0.012960,-0.000278,0.006071,-0.008677,-0.003732,0.011733,-0.013877,-0.010070,-0.008659,0.001267,0.002027,0.003955,0.002496,0.003077,-0.018365,-0.004212,-0.003696,-0.002946,0.002597,0.003461,-0.010898,-0.020446,-0.012078,-0.005326,-0.038001,-0.037589,-0.005685,-0.023187,-0.010952,-0.007492,-0.028692,0.081140,0.064915
81,1000,1,0.013810,0.021344,0.020625,0.018694,0.028079,0.005226,0.016464,0.014697,-0.000649,0.010062,-0.006452,0.004787,0.005931,-0.004257,0.007797,0.001213,0.011902,-0.007011,0.004261,-0.009611,0.005710,-0.002161,-0.000391,-0.009644,-0.003122,0.004098,0.005641,-0.002609,-0.014733,0.009159,0.002583,-0.014607,0.003641,0.001673,0.000748,0.001781,-0.003398,-0.005998,0.001308,-0.000597,-0.017918,-0.031789,-0.018806,-0.029878,-0.013680,-0.048192,-0.038317,-0.008441,-0.044819,-0.022207,0.078235,0.094145
82,1000,1,0.015705,0.017040,0.007654,0.015578,0.010124,0.019268,0.016834,0.008224,0.008635,0.006823,0.004782,-0.000834,0.001569,-0.001822,0.002995,0.006254,-0.010142,-0.011084,0.003896,0.004143,-0.001248,-0.004381,-0.011432,0.005978,-0.007108,0.003005,0.005100,-0.019451,-0.025106,0.003082,0.004250,-0.001424,0.021229,0.007513,0.006244,-0.013823,-0.039671,-0.007741,-0.011608,-0.001214,-0.018690,-0.013161,-0.014417,-0.021706,-0.008688,-0.019027,-0.014733,-0.022242,-0.016617,-0.004843,0.099232,0.080181
83,1000,1,0.010254,0.021974,0.021980,0.015447,0.010085,0.020427,0.018474,0.001628,0.014945,0.015646,0.003102,0.002894,-0.023650,0.002086,0.004612,0.001562,-0.005248,0.006686,-0.011043,-0.002005,0.005307,-0.006046,-0.008814,-0.008504,-0.002342,0.001405,-0.003995,-0.004354,0.003846,-0.005438,-0.003351,-0.001665,-0.000178,0.000741,0.005262,-0.002811,-0.000765,-0.026018,-0.002661,0.002518,-0.015947,-0.010206,-0.016032,-0.006847,-0.029726,-0.009788,-0.008210,-0.021222,-0.021896,-0.024085,0.088802,0.084596
84,1000,1,0.014798,0.015327,0.010163,0.009625,0.015272,0.020694,0.015565,0.013196,0.019583,0.013929,-0.021808,-0.000760,-0.008897,0.013495,-0.007908,-0.007267,-0.021958,0.003290,0.000827,0.005467,0.004945,0.004683,-0.017740,0.006429,-0.001066,0.012341,-0.031462,-0.004988,-0.014973,0.000440,-0.008121,0.001157,0.002784,0.000593,-0.003994,-0.001006,0.001049,-0.007162,-0.001173,0.001263,-0.017508,-0.020618,-0.033143,-0.021036,-0.017182,-0.023531,-0.016876,-0.020564,-0.020170,-0.012453,0.076891,0.086375
85,1000,1,0.007538,0.011085,0.013616,0.021169,0.012336,0.013174,0.012418,0.016625,0.006105,0.013550,0.006556,0.006244,-0.015597,0.003491,0.008035,0.003585,0.000413,0.001988,0.005233,-0.008943,-0.008261,-0.018277,0.003996,0.019861,0.005651,-0.008107,0.004587,0.001836,0.006942,-0.010673,-0.000300,-0.009786,-0.004406,-0.002836,-0.015979,0.002930,0.003908,0.003427,-0.005953,-0.005514,-0.016458,-0.028940,-0.032435,-0.027095,-0.050506,-0.006579,-0.019618,-0.013011,-0.013446,-0.011553,0.066667,0.097034
86,1000,1,0.018608,0.009327,0.011971,0.021040,0.016115,0.014873,0.018145,0.006445,0.016835,0.019744,-0.028165,-0.001804,-0.016420,-0.014845,-0.006802,-0.008500,-0.019942,-0.018276,-0.001832,-0.004450,-0.002145,-0.018008,0.005489,-0.005330,-0.005344,-0.006470,0.001711,-0.000478,-0.006651,-0.013187,-0.003314,-0.028238,0.007106,-0.024398,0.001266,-0.003330,0.004073,0.003661,-0.002628,0.002740,-0.023385,-0.013745,-0.010418,-0.054113,-0.020746,-0.007663,-0.018470,-0.014663,-0.010943,-0.024355,0.088611,0.089502
87,1000,1,0.015378,0.017635,0.010857,0.010540,0.027220,0.009911,0.005305,0.009654,0.014789,0.015290,0.004993,-0.005717,-0.002520,-0.007812,0.009779,0.001690,-0.003851,0.003969,-0.003398,0.008600,0.006193,-0.003886,-0.012449,-0.002952,0.002114,-0.003807,-0.010366,0.011065,-0.002903,0.005597,0.005590,-0.001016,0.000968,-0.022867,0.004764,-0.001278,0.014937,0.005305,-0.012013,-0.003394,-0.009116,-0.007409,-0.003422,-0.027067,-0.020200,-0.012562,-0.023582,-0.025265,0.000122,-0.017625,0.096183,0.074639
88,1000,1,0.019104,0.011192,0.013190,0.007475,0.016078,0.022404,0.009913,0.014281,0.026300,0.032817,0.000640,0.001182,0.006695,-0.000739,-0.015979,0.002131,-0.005973,0.010596,-0.008189,0.002482,-0.000154,-0.012219,-0.014278,0.001400,-0.024536,0.002005,-0.008241,-0.002975,-0.010194,-0.008661,0.000870,-0.007541,-0.003761,-0.003387,0.004000,-0.005635,-0.014036,-0.005252,-0.003526,-0.004032,-0.022797,-0.045871,-0.004722,-0.013956,-0.022715,-0.011208,-0.016050,-0.031850,-0.012513,-0.009140,0.069281,0.096452
89,1000,1,0.004037,-0.008936,0.015467,0.015928,0.011922,0.022685,0.019104,0.015660,0.011108,0.021128,-0.007938,-0.014474,0.004630,0.003627,-0.008683,-0.000875,-0.006772,-0.005084,-0.003035,0.002895,0.005869,-0.024072,-0.006840,-0.005735,-0.003084,0.000352,0.005500,-0.009409,0.000650,-0.009088,-0.015310,0.008168,0.000880,0.000971,0.003969,0.003203,0.008462,0.003117,-0.010748,-0.011685,-0.043528,-0.024960,-0.019929,-0.020533,-0.021342,-0.009260,-0.012576,-0.013444,-0.015912,-0.023260,0.071592,0.065067
90,1000,1,0.014192,0.013837,0.020854,0.027497,0.020716,0.023855,0.016803,0.006534,0.018537,0.008640,-0.000154,-0.001088,-0.003543,-0.003104,0.001949,-0.002990,0.008775,0.006130,-0.005890,0.003305,-0.015928,0.004957,0.000507,-0.023719,-0.005133,-0.012879,-0.001518,-0.006405,-0.002068,0.001434,-0.033750,-0.001231,-0.011058,-0.002034,-0.003531,0.006616,-0.014781,-0.000038,0.000772,-0.000841,-0.014812,-0.022864,-0.008768,-0.027377,-0.027530,-0.018160,-0.012863,-0.014242,0.002860,-0.018708,0.065034,0.076279
